route,source,target,dijkstra_time_ms,astar_time_ms,bidirectional_dijkstra_time_ms,bidirectional_astar_time_ms,dijkstra_nodes,astar_nodes,bidirectional_dijkstra_nodes,bidirectional_astar_nodes,dijkstra_distance_km,astar_distance_km,bidirectional_dijkstra_distance_km,bidirectional_astar_distance_km,dijkstra_path_valid,astar_path_valid,bidirectional_dijkstra_path_valid,bidirectional_astar_path_valid,valid,max_distance_difference_km,path_distance_difference_km
11,2240855473,2234830877,10.118699981831014,7.075900037307292,11.726500000804663,115.16709998250008,3844,840,2298,6532,2.310106702420024,2.310106702420024,2.3101067024200237,2.310106702420024,True,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
12,13415006113,11380887720,151.48850000696257,166.46019998006523,220.10939999017864,785.9122999943793,46107,24372,32220,58768,10.670627093638604,10.670627093638604,10.6706270936386,10.670627093638604,True,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
13,7677243990,2236749242,80.42230003047734,27.306400006636977,86.51390002341941,443.6969000380486,21381,3471,11212,35544,6.019740416255278,6.019740416255278,6.019740416255275,6.019740416255278,True,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15
14,2240856453,11491003935,122.61810002382845,74.1831999621354,78.20970000466332,331.1258999747224,35162,8083,15027,25342,6.964810103114617,6.964810103114617,6.9648101031146155,6.964810103114617,True,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
15,12240737881,6150915532,81.73969999188557,92.36609999788925,119.17099996935576,749.3615000275895,23219,9970,22838,55532,8.389524299706359,8.389524299706359,8.389524299706355,8.389524299706359,True,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
16,3598396122,2236890007,18.70660000713542,5.983600043691695,21.414299961179495,164.96300004655495,6674,696,4123,15424,3.5832140638482524,3.5832140638482524,3.583214063848253,3.5832140638482524,True,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
17,3612561863,7711049617,117.01509996782988,124.90870000328869,145.1736000017263,782.2740999981761,34671,14231,28490,67106,10.224434123880057,10.224434123880057,10.224434123880055,10.224434123880057,True,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
18,2586462583,2212515593,160.4510999750346,84.67609999934211,126.55260000610724,661.0542999696918,45931,13399,29026,71270,11.709266256248412,11.709266256248412,11.70926625624842,11.709266256248412,True,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
19,13900538230,11868094431,22.177500010002404,7.603199977893382,15.105900005437434,167.8713000146672,8006,973,4012,12766,2.5679170575120716,2.5679170575120716,2.567917057512072,2.5679170575120716,True,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
20,12115098699,13149474300,23.88480002991855,26.32360003190115,25.992099952418357,193.46520002000034,8457,3737,5479,13968,4.401203081141689,4.401203081141689,4.40120308114169,4.401203081141689,True,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
21,2240856657,2586434369,137.21180002903566,55.732699984218925,84.51439999043941,520.9391000098549,39310,9945,24539,55344,8.898122605702449,8.898122605702449,8.89812260570245,8.898122605702449,True,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
22,4191358038,2236748046,45.95380002865568,39.59130001021549,47.820799984037876,253.81859997287393,15923,6206,12443,24132,6.682733397982215,6.682733397982215,6.682733397982216,6.682733397982215,True,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
23,11873734065,1596025182,161.47920000366867,161.67409997433424,133.41579999541864,875.9092000545934,43882,12656,25522,71554,10.661534696488118,10.661534696488118,10.661534696488125,10.661534696488118,True,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
24,1595246448,6829340245,71.45410001976416,50.412499986123294,102.0033999811858,583.2043000264093,27135,8265,21301,55948,8.420921053951545,8.420921053951545,8.420921053951547,8.420921053951545,True,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
25,1595338599,4209020163,94.01270002126694,64.16679994435981,118.71129996143281,821.2715000263415,30076,7345,27093,81976,9.967136137419287,9.967136137419287,9.967136137419281,9.967136137419287,True,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15
26,2234831586,8072331756,72.35360000049695,14.804299979005009,48.508700041566044,533.4092000266537,21559,2500,12694,48464,5.3473560816774794,5.3473560816774794,5.347356081677478,5.3473560816774794,True,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
27,2245835653,660139957,31.14310000091791,29.85600003739819,54.5764000271447,307.5879999669269,11550,4703,12437,29314,6.36574632950206,6.36574632950206,6.365746329502061,6.36574632950206,True,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
28,13369422041,3612553377,13.123600045219064,10.781199962366372,18.0386999854818,94.00240000104532,4733,1210,3908,9236,2.9926108558550175,2.9926108558550175,2.992610855855017,2.9926108558550175,True,True,True,True,True,4.440892098500626e-16,4.440892098500626e-16
29,1594812956,11840643625,18.779799982439727,8.049099997151643,10.93879999825731,63.37699998402968,6208,1648,3260,7070,3.2550804586925426,3.2550804586925426,3.255080458692541,3.2550804586925426,True,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
30,2805343846,1520914971,58.37769998470321,43.276800017338246,53.38029999984428,365.09059998206794,16898,6105,10714,37692,6.326961231961224,6.326961231961224,6.326961231961223,6.326961231961224,True,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
