route,source,target,dijkstra_time_ms,astar_time_ms,bidirectional_dijkstra_time_ms,dijkstra_nodes,astar_nodes,bidirectional_dijkstra_nodes,dijkstra_distance_km,astar_distance_km,bidirectional_dijkstra_distance_km,dijkstra_path_valid,astar_path_valid,bidirectional_dijkstra_path_valid,valid,max_distance_difference_km,path_distance_difference_km
1,6248322343,13319610946,40.59990000678226,13.050600013229996,41.95889999391511,22830,4907,23579,7.60665859075089,7.60665859075089,7.606658590750891,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
2,2858365075,10594000011,80.57180000469089,9.681500028818846,57.232299994211644,59122,4179,31510,6.716165294746242,6.716165294746242,6.7161652947462365,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15
3,3612541576,2249775899,51.26100004417822,12.695199984591454,38.504500000271946,38066,5615,21228,7.58218747073581,7.58218747073581,7.582187470735807,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15
4,2245995686,2222306342,329.9142000032589,174.04269997496158,307.59799998486415,204395,70164,158346,18.429764243414425,18.429764243414425,18.429764243414418,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
5,7679830314,2222306912,1.8633999861776829,0.7106999983079731,1.2919000000692904,1764,338,825,1.3732395547216527,1.3732395547216527,1.3732395547216525,True,True,True,True,2.220446049250313e-16,2.220446049250313e-16
6,5745497483,7682350537,261.2544000148773,61.68550002621487,193.786799965892,174269,26565,101384,13.751677613678508,13.751677613678508,13.751677613678499,True,True,True,True,8.881784197001252e-15,8.881784197001252e-15
7,12027549497,3612555810,306.8455000175163,44.574700004886836,171.7814999865368,200122,17021,94497,13.820285492992763,13.820285492992763,13.820285492992777,True,True,True,True,1.4210854715202004e-14,1.4210854715202004e-14
8,3598381272,7702230273,224.41899997647852,113.56870003510267,239.81639998964965,161040,45927,134207,17.991311468411492,17.991311468411492,17.991311468411475,True,True,True,True,1.7763568394002505e-14,1.7763568394002505e-14
9,3598272678,2240855219,161.99649998452514,65.92710001859814,202.3487000260502,114348,25786,102851,13.032893130657577,13.032893130657577,13.032893130657577,True,True,True,True,0.0,0.0
10,1152802410,1339459433,290.0484999991022,75.71260002441704,189.35349996900186,180114,26184,100406,13.795827249037757,13.795827249037757,13.795827249037753,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
11,7709770859,2247659539,35.709100018721074,9.30729997344315,26.538799982517958,22833,4058,12347,4.592029144710644,4.592029144710644,4.592029144710642,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
12,7701856834,4010607773,239.45649998495355,82.11789996130392,265.43789997231215,156693,32186,107296,15.030342316010314,15.030342316010314,15.030342316010316,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
13,2858364614,6393171731,54.12429996067658,12.914499966427684,41.8923000106588,37286,5326,21538,5.395110401558734,5.395110401558734,5.395110401558732,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
14,2241232934,7571899413,309.57899999339134,73.70810001157224,163.81519997958094,191372,28474,86321,14.95512197946807,14.95512197946807,14.955121979468068,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
15,4308409795,6934261830,17.945599975064397,5.036199989262968,16.26820000819862,13155,2192,9775,6.769757726109826,6.769757726109826,6.769757726109826,True,True,True,True,0.0,0.0
16,4029683835,7713438192,201.12530002370477,63.986700028181076,216.6268999571912,139301,24193,108759,14.356458714656469,14.356458714656469,14.356458714656476,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
17,11045907088,7679279865,296.6774000087753,134.37049998901784,304.55129995243624,189867,50934,149364,17.56059843805015,17.56059843805015,17.560598438050157,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
18,7710834593,4206619686,95.06819996749982,24.09239998087287,64.19489998370409,66326,9698,32275,8.8390154661754,8.8390154661754,8.839015466175397,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
19,10244336136,11840514589,66.56380003551021,13.223899994045496,33.424200024455786,45107,5363,17343,7.07616191060819,7.07616191060819,7.0761619106081906,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
20,316978402,7694412560,288.1121999816969,150.97250003600493,197.19620002433658,185602,55288,104014,18.2402039309017,18.2402039309017,18.240203930901714,True,True,True,True,1.4210854715202004e-14,1.4210854715202004e-14
21,9819659332,2225436048,276.8453999888152,150.03209997667,326.75609999569133,179034,56314,156335,21.64355500060901,21.64355500060901,21.643555000609023,True,True,True,True,1.4210854715202004e-14,1.4210854715202004e-14
22,6625404466,13310615459,324.0790999843739,244.71769999945536,359.1726000304334,206360,90438,172746,23.641337963452553,23.641337963452553,23.641337963452564,True,True,True,True,1.0658141036401503e-14,1.0658141036401503e-14
23,7694869240,3612534102,359.9584000185132,285.54320003604516,386.3631000276655,234540,102228,189663,26.709422373971485,26.709422373971485,26.709422373971513,True,True,True,True,2.842170943040401e-14,2.842170943040401e-14
24,4021566175,2245834618,252.29659996693954,54.248300031758845,226.36689996579662,166540,21456,111518,14.939352736602002,14.939352736602002,14.939352736601997,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15
25,7698420984,7702441539,298.2436000020243,58.43589996220544,173.69740002322942,182765,20791,91032,13.278822107036971,13.278822107036971,13.27882210703698,True,True,True,True,8.881784197001252e-15,8.881784197001252e-15
26,1438287580,2460272783,91.12579998327419,23.37220002664253,68.08729999465868,63484,9521,35241,7.69108833993288,7.69108833993288,7.691088339932879,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
27,11568664538,11846968265,205.71820001350716,92.17519999947399,144.16440000059083,138736,36548,78178,11.769723666745545,11.769723666745545,11.769723666745541,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
28,7712280068,11482109662,302.18759999843314,175.46599998604506,249.50519995763898,199353,63015,141570,19.258316415817898,19.258316415817898,19.258316415817905,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
29,11043420417,11046236898,97.57419995730743,32.34449995215982,87.65489998040721,76854,13165,49737,9.369197423552016,9.369197423552016,9.369197423552018,True,True,True,True,1.7763568394002505e-15,1.7763568394002505e-15
30,7712788811,9941815213,239.2334999749437,54.76599995745346,173.7491000094451,158324,22866,100033,13.047297516237155,13.047297516237155,13.047297516237158,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
